name,population,color
Australia,,#DB8838
New Zealand,,#B47D87
American Samoa,,#BB1AA4
Cook Islands,,#414360
Fiji,,#4BFECB
French Polynesia,,#E8D513
Guam,,#18D8D3
Kiribati,,#76C76E
Marshall Islands,,#0ADCBF
"Micronesia, Federated States of",,#22D5BC
Nauru,,#220EB8
New Caledonia,,#B14A08
Norfolk Island,,#A0ED76
Northern Mariana Islands,,#9CA3EB
Niue,,#BE6DDC
Palau,,#8253B3
Papua New Guinea,,#CBF86C
Samoa,,#D1E49B
Solomon Islands,,#B2CE61
Tokelau,,#1D64EF
Tonga,,#5727AA
Tuvalu,,#91DED9
Vanuatu,,#D0120C
Wallis and Futuna,,#10FA73
China,,#206B23
Hong Kong,,#FA8C8A
Japan,,#0E0165
"Korea, Republic of",,#3F55D6
Taiwan,,#F666F9
Macau,,#E6DE6D
Mongolia,,#6472E4
"Korea, Democratic Peoples Republic of",,#330C22
Indonesia,,#5AEFE7
Malaysia,,#2928A1
Philippines,,#4A7043
Singapore,,#AB04AA
Thailand,,#C2FE76
Viet Nam,,#4D797D
Brunei Darussalam,,#8449DE
Cambodia,,#883B38
Lao People's Democratic Republic,,#068C5E
Myanmar,,#EBC7BC
Timor Leste,,#AAE5BA
Bangladesh,,#05BA3A
India,,#A1BFBD
Sri Lanka,,#2CB55A
Afghanistan,,#425BE9
Bhutan,,#A25936
Maldives,,#5EB5EB
Nepal,,#C9D630
Pakistan,,#665899
Canada,,#7D6939
United States of America,,#43A80B
Mexico,,#D98802
Bermuda,,#269EEA
Greenland,,#48B9F3
Saint Pierre and Miquelon,,#F382AC
Colombia,,#55CE82
Peru,,#F0F83B
Venezuela,,#811874
Bolivia,,#176131
Ecuador,,#6FB882
Argentina,,#ED95AE
Brazil,,#023DD2
Chile,,#03BC51
Uruguay,,#F19665
Falkland Islands (Malvinas),,#E9FDAB
French Guiana,,#3B5B0E
Guyana,,#5330E5
Paraguay,,#D59DF9
Suriname,,#268546
Belize,,#16D52A
Costa Rica,,#C4C2FD
El Salvador,,#FD9481
Guatemala,,#4AB7B3
Honduras,,#87350F
Nicaragua,,#35A2EB
Panama,,#5814A9
Antigua & Barbuda,,#73FE34
Bahamas,,#D94288
Barbados,,#741B08
Dominica,,#26A673
Dominican Republic,,#FF6267
Grenada,,#596FE7
